Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,84700.000000,85200.000000,82500.000000,84900.000000,84584.234375,506090
2017-03-21,85000.000000,86200.000000,84300.000000,86100.000000,85779.773438,515560
2017-03-22,85500.000000,86700.000000,84700.000000,86600.000000,86277.906250,476268
2017-03-23,86700.000000,86700.000000,85400.000000,85900.000000,85580.515625,310710
2017-03-24,86200.000000,86200.000000,83100.000000,84100.000000,83787.210938,537901
2017-03-27,83400.000000,84200.000000,82800.000000,82900.000000,82591.679688,319059
2017-03-28,83300.000000,84000.000000,82400.000000,83200.000000,82890.554688,346230
2017-03-29,84000.000000,84100.000000,82900.000000,83800.000000,83488.320313,245176
2017-03-30,84100.000000,84100.000000,82700.000000,82800.000000,82492.046875,230451
2017-03-31,83500.000000,83700.000000,82700.000000,83100.000000,82790.929688,179689
2017-04-03,83500.000000,87000.000000,83400.000000,87000.000000,86676.421875,862856
2017-04-04,87500.000000,87600.000000,85700.000000,85700.000000,85381.265625,1954434
2017-04-05,86800.000000,88700.000000,85600.000000,85900.000000,85580.515625,1526823
2017-04-06,84500.000000,85000.000000,83300.000000,84500.000000,84185.718750,3843443
2017-04-07,85300.000000,87100.000000,84900.000000,86600.000000,86277.906250,1424420
2017-04-10,87100.000000,87100.000000,84200.000000,84900.000000,84584.234375,819880
2017-04-11,84700.000000,86200.000000,84100.000000,85700.000000,85381.265625,750110
2017-04-12,85700.000000,86200.000000,85100.000000,85900.000000,85580.515625,465429
2017-04-13,85700.000000,88500.000000,85600.000000,88000.000000,87672.695313,1362238
2017-04-14,87800.000000,90200.000000,87500.000000,88800.000000,88469.726563,1146797
2017-04-17,90000.000000,90300.000000,88400.000000,89100.000000,88768.617188,747833
2017-04-18,89100.000000,89800.000000,88000.000000,88200.000000,87871.953125,539494
2017-04-19,87000.000000,88600.000000,86500.000000,87200.000000,86875.671875,686885
2017-04-20,88900.000000,91100.000000,88200.000000,90800.000000,90462.281250,1559946
2017-04-21,91700.000000,91900.000000,89600.000000,90000.000000,89665.257813,860895
2017-04-24,90600.000000,91500.000000,89300.000000,90200.000000,89864.515625,609794
2017-04-25,90700.000000,90800.000000,89600.000000,90800.000000,90462.281250,512570
2017-04-26,91800.000000,94100.000000,91400.000000,92600.000000,92255.593750,1219425
2017-04-27,93000.000000,93000.000000,91200.000000,91400.000000,91060.054688,487452
2017-04-28,91700.000000,92300.000000,89300.000000,90400.000000,90063.773438,597202
2017-05-02,91500.000000,92800.000000,91000.000000,92600.000000,92255.593750,547726
2017-05-04,93800.000000,94900.000000,93200.000000,94000.000000,93650.382813,641966
2017-05-08,94200.000000,95000.000000,93400.000000,95000.000000,94646.671875,606290
2017-05-10,95800.000000,95800.000000,93600.000000,94000.000000,93650.382813,591255
2017-05-11,95800.000000,96000.000000,94800.000000,95200.000000,94845.929688,742959
2017-05-12,95700.000000,95800.000000,94500.000000,95800.000000,95443.695313,456417
2017-05-15,95800.000000,96300.000000,93500.000000,93800.000000,93451.132813,637232
2017-05-16,94500.000000,95400.000000,94100.000000,95200.000000,94845.929688,523113
2017-05-17,95500.000000,95600.000000,94200.000000,95200.000000,94845.929688,367716
2017-05-18,94000.000000,95500.000000,93800.000000,95200.000000,94845.929688,494101
2017-05-19,95500.000000,98400.000000,95500.000000,98000.000000,97635.507813,864141
2017-05-22,99000.000000,99500.000000,97700.000000,99500.000000,99129.921875,586072
2017-05-23,99600.000000,99800.000000,98500.000000,99000.000000,98631.789063,441606
2017-05-24,98900.000000,99500.000000,98200.000000,99500.000000,99129.921875,365620
2017-05-25,99900.000000,99900.000000,98600.000000,98600.000000,98233.281250,373447
2017-05-26,99200.000000,101000.000000,99100.000000,99700.000000,99329.179688,495326
2017-05-29,100200.000000,100200.000000,99100.000000,99200.000000,98831.046875,382156
2017-05-30,99500.000000,99700.000000,98000.000000,98100.000000,97735.132813,452940
2017-05-31,98200.000000,99400.000000,98200.000000,98800.000000,98432.531250,543164
2017-06-01,99000.000000,99400.000000,98200.000000,98800.000000,98432.531250,268742
2017-06-02,99200.000000,100900.000000,99200.000000,100800.000000,100425.093750,602328
2017-06-05,101500.000000,104600.000000,101200.000000,104500.000000,104111.328125,840185
2017-06-07,105000.000000,108300.000000,104200.000000,108000.000000,107598.312500,1018606
2017-06-08,108800.000000,110100.000000,106700.000000,108500.000000,108096.445313,993097
2017-06-09,108500.000000,110000.000000,107900.000000,109800.000000,109391.617188,589751
2017-06-12,107000.000000,107800.000000,103400.000000,105000.000000,104609.468750,1280193
2017-06-13,106200.000000,107500.000000,105500.000000,106900.000000,106502.398438,655263
2017-06-14,108100.000000,108400.000000,105000.000000,106400.000000,106004.265625,675374
2017-06-15,106700.000000,106900.000000,104800.000000,105500.000000,105107.601563,418961
2017-06-16,105300.000000,105400.000000,102100.000000,102900.000000,102517.281250,945380
2017-06-19,102400.000000,104500.000000,102400.000000,103800.000000,103413.937500,395315
2017-06-20,104900.000000,105000.000000,101100.000000,101500.000000,101122.484375,557636
2017-06-21,100200.000000,100300.000000,98000.000000,98800.000000,98432.531250,953598
2017-06-22,99800.000000,99900.000000,97100.000000,98000.000000,97635.507813,552636
2017-06-23,97800.000000,101500.000000,97500.000000,101500.000000,101122.484375,540430
2017-06-26,101700.000000,102100.000000,99700.000000,100200.000000,99827.328125,388658
2017-06-27,100700.000000,104400.000000,100400.000000,103800.000000,103413.937500,729641
2017-06-28,102200.000000,103000.000000,100500.000000,100800.000000,100425.093750,418589
2017-06-29,102400.000000,102700.000000,100800.000000,101500.000000,101122.484375,254580
2017-06-30,100300.000000,103300.000000,100300.000000,101500.000000,101122.484375,321295
2017-07-03,102400.000000,102700.000000,99100.000000,99400.000000,99030.296875,466365
2017-07-04,99900.000000,100500.000000,98000.000000,98300.000000,97934.390625,436397
2017-07-05,98500.000000,102600.000000,98500.000000,102500.000000,102118.765625,596647
2017-07-06,103300.000000,105900.000000,103200.000000,104100.000000,103712.812500,707536
2017-07-07,103500.000000,103700.000000,100200.000000,101600.000000,101222.117188,996796
2017-07-10,102500.000000,103500.000000,101000.000000,102000.000000,101620.625000,356174
2017-07-11,102500.000000,102500.000000,99700.000000,100500.000000,100126.210938,352591
2017-07-12,98500.000000,99900.000000,97600.000000,98500.000000,98133.648438,621240
2017-07-13,99200.000000,100500.000000,98500.000000,99900.000000,99528.445313,318819
2017-07-14,100500.000000,101500.000000,99000.000000,99000.000000,98631.789063,197097
2017-07-17,99200.000000,101000.000000,99200.000000,100500.000000,100126.210938,211816
2017-07-18,101500.000000,104500.000000,101000.000000,103500.000000,103115.046875,701273
2017-07-19,105000.000000,106000.000000,103500.000000,105000.000000,104609.468750,444737
2017-07-20,106000.000000,106500.000000,105000.000000,105000.000000,104609.468750,347492
2017-07-21,105500.000000,108000.000000,105000.000000,108000.000000,107598.312500,595184
2017-07-24,108500.000000,110500.000000,107000.000000,109000.000000,108594.593750,628757
2017-07-25,109500.000000,110000.000000,107000.000000,107500.000000,107100.164063,324849
2017-07-26,108000.000000,108500.000000,104000.000000,105500.000000,105107.601563,467047
2017-07-27,107500.000000,109500.000000,106000.000000,109500.000000,109092.726563,755654
2017-07-28,112500.000000,114000.000000,109500.000000,111000.000000,110587.148438,1687002
2017-07-31,113500.000000,121000.000000,112500.000000,120000.000000,119553.679688,3120156
2017-08-01,121500.000000,124500.000000,117000.000000,118000.000000,117561.125000,2508504
2017-08-02,113500.000000,116500.000000,110500.000000,114500.000000,114074.140625,2152274
2017-08-03,116500.000000,117000.000000,112500.000000,114500.000000,114074.140625,1007302
2017-08-04,113500.000000,115500.000000,110000.000000,110500.000000,110089.015625,941027
2017-08-07,111000.000000,112500.000000,108000.000000,110500.000000,110089.015625,678083
2017-08-08,110500.000000,113500.000000,110500.000000,111000.000000,110587.148438,478659
2017-08-09,111000.000000,111500.000000,107500.000000,108500.000000,108096.445313,623624
2017-08-10,110000.000000,111500.000000,107000.000000,108500.000000,108096.445313,790214
2017-08-11,107500.000000,110500.000000,106500.000000,110000.000000,109590.875000,783638
2017-08-14,112500.000000,114000.000000,111000.000000,113000.000000,112579.710938,705373
2017-08-16,114500.000000,115000.000000,113500.000000,114500.000000,114074.140625,545437
2017-08-17,115500.000000,116000.000000,113500.000000,114500.000000,114074.140625,359227
2017-08-18,113000.000000,115000.000000,112500.000000,113500.000000,113077.859375,353415
2017-08-21,114000.000000,115000.000000,113000.000000,114000.000000,113575.992188,257439
2017-08-22,114500.000000,116500.000000,113000.000000,115500.000000,115070.429688,434151
2017-08-23,116500.000000,116500.000000,114500.000000,115000.000000,114572.281250,284841
2017-08-24,115500.000000,118500.000000,115500.000000,116500.000000,116066.703125,494534
2017-08-25,117500.000000,118500.000000,116500.000000,117500.000000,117062.992188,411686
2017-08-28,118000.000000,118500.000000,116500.000000,118000.000000,117561.125000,298415
2017-08-29,117000.000000,120000.000000,116500.000000,119000.000000,118557.398438,679797
2017-08-30,122500.000000,125000.000000,122000.000000,122000.000000,121546.242188,1279951
2017-08-31,123000.000000,124500.000000,122000.000000,123000.000000,122542.523438,615126
2017-09-01,123000.000000,123000.000000,120000.000000,122000.000000,121546.242188,509704
2017-09-04,122000.000000,122000.000000,122000.000000,122000.000000,121546.242188,0
2017-09-05,121500.000000,126000.000000,120500.000000,125500.000000,125033.226563,1049572
2017-09-06,126000.000000,129000.000000,125000.000000,128000.000000,127523.921875,1081421
2017-09-07,128000.000000,129000.000000,126500.000000,127000.000000,126527.648438,635882
2017-09-08,128000.000000,130000.000000,127500.000000,129500.000000,129018.351563,654931
2017-09-11,130000.000000,132000.000000,129500.000000,130500.000000,130014.625000,664143
2017-09-12,130500.000000,131000.000000,128500.000000,130500.000000,130014.625000,640335
2017-09-13,130000.000000,130000.000000,127000.000000,127500.000000,127025.789063,972020
2017-09-14,129000.000000,133000.000000,128500.000000,132000.000000,131509.062500,2492580
2017-09-15,132500.000000,136000.000000,131000.000000,135500.000000,134996.046875,1146819
2017-09-18,136500.000000,137500.000000,135000.000000,135500.000000,134996.046875,718173
2017-09-19,135000.000000,137000.000000,132000.000000,137000.000000,136490.453125,646410
2017-09-20,138000.000000,144000.000000,138000.000000,142500.000000,141970.000000,1321516
2017-09-21,144000.000000,144500.000000,139500.000000,142000.000000,141471.859375,815469
2017-09-25,136000.000000,140500.000000,134000.000000,138500.000000,137984.875000,693111
2017-09-26,138500.000000,138500.000000,138500.000000,138500.000000,137984.875000,0
2017-09-27,141500.000000,142000.000000,139500.000000,140500.000000,139977.453125,457782
2017-09-28,140500.000000,141000.000000,139000.000000,139500.000000,138981.171875,320185
2017-09-29,140500.000000,145000.000000,139500.000000,144000.000000,143464.421875,750550
2017-10-10,147000.000000,149500.000000,145500.000000,149000.000000,148445.828125,837504
2017-10-11,149500.000000,151500.000000,148000.000000,150500.000000,149940.234375,523485
2017-10-12,151500.000000,159500.000000,151000.000000,159500.000000,158906.765625,1304122
2017-10-13,160000.000000,168000.000000,151500.000000,152500.000000,151932.812500,2543079
2017-10-16,150500.000000,157000.000000,146000.000000,156000.000000,155419.781250,1723984
2017-10-17,157000.000000,159000.000000,153000.000000,157500.000000,156914.203125,719696
2017-10-18,156500.000000,156500.000000,147500.000000,148500.000000,147947.687500,1640427
2017-10-19,149000.000000,151500.000000,145000.000000,147000.000000,146453.265625,1065448
2017-10-20,149000.000000,151500.000000,148000.000000,150000.000000,149442.093750,667108
2017-10-23,149000.000000,151500.000000,147500.000000,151000.000000,150438.390625,565904
2017-10-24,151000.000000,153000.000000,150000.000000,150000.000000,149442.093750,467080
2017-10-25,151500.000000,152000.000000,145000.000000,146000.000000,145456.968750,768872
2017-10-26,145500.000000,145500.000000,139000.000000,140000.000000,139479.296875,1893626
2017-10-27,139500.000000,143500.000000,136500.000000,143500.000000,142966.281250,1032642
2017-10-30,144000.000000,146500.000000,140500.000000,142000.000000,141471.859375,652066
2017-10-31,143000.000000,146000.000000,142500.000000,144000.000000,143464.421875,465396
2017-11-01,145000.000000,151500.000000,143000.000000,151000.000000,150438.390625,1022580
2017-11-02,152500.000000,153000.000000,149000.000000,150000.000000,149442.093750,506579
2017-11-03,151000.000000,153000.000000,146500.000000,152500.000000,151932.812500,627354
2017-11-06,153500.000000,154000.000000,151500.000000,153000.000000,152430.937500,497572
2017-11-07,153500.000000,155000.000000,152000.000000,154000.000000,153427.218750,482499
2017-11-08,154500.000000,158000.000000,154000.000000,157500.000000,156914.203125,821591
2017-11-09,159500.000000,162500.000000,149500.000000,152500.000000,151932.812500,1633218
2017-11-10,151000.000000,156000.000000,150000.000000,152500.000000,151932.812500,737490
2017-11-13,153000.000000,155500.000000,152000.000000,154000.000000,153427.218750,604366
2017-11-14,154000.000000,156000.000000,152500.000000,155000.000000,154423.515625,516918
2017-11-15,155500.000000,156000.000000,153500.000000,154000.000000,153427.218750,491354
2017-11-16,null,null,null,null,null,null
2017-11-17,155500.000000,159500.000000,154500.000000,157500.000000,156914.203125,718319
2017-11-20,158500.000000,161000.000000,158000.000000,160000.000000,159404.906250,714306
2017-11-21,161500.000000,166000.000000,160000.000000,161000.000000,160401.187500,1244207
2017-11-22,161000.000000,161500.000000,153000.000000,154500.000000,153925.375000,4520630
2017-11-23,null,null,null,null,null,null
2017-11-24,150000.000000,153500.000000,146500.000000,148000.000000,147449.546875,1274472
2017-11-27,147500.000000,151000.000000,147000.000000,147500.000000,146951.406250,771973
2017-11-28,147500.000000,148000.000000,145000.000000,145500.000000,144958.843750,651234
2017-11-29,146000.000000,146500.000000,142000.000000,145000.000000,144460.687500,1022981
2017-11-30,145000.000000,145500.000000,135000.000000,136500.000000,135992.328125,1808464
2017-12-01,136500.000000,141000.000000,136500.000000,140000.000000,139479.296875,867012
2017-12-04,140500.000000,143000.000000,138500.000000,139500.000000,138981.171875,481190
2017-12-05,139000.000000,141000.000000,134000.000000,140500.000000,139977.453125,779716
2017-12-06,139500.000000,143000.000000,138000.000000,138000.000000,137486.734375,470275
2017-12-07,138000.000000,139000.000000,133000.000000,135500.000000,134996.046875,813930
2017-12-08,137000.000000,140500.000000,137000.000000,138500.000000,137984.875000,565316
2017-12-11,140500.000000,140500.000000,138000.000000,140000.000000,139479.296875,284302
2017-12-12,139500.000000,143500.000000,138000.000000,141000.000000,140475.562500,445846
2017-12-13,141000.000000,142000.000000,138500.000000,141000.000000,140475.562500,283499
2017-12-14,142000.000000,145000.000000,142000.000000,144000.000000,143464.421875,639895
2017-12-15,144500.000000,145000.000000,142000.000000,142500.000000,141970.000000,345053
2017-12-18,138000.000000,139500.000000,133500.000000,134500.000000,133999.765625,1462446
2017-12-19,133500.000000,136500.000000,131500.000000,135500.000000,134996.046875,681961
2017-12-21,134000.000000,134000.000000,129000.000000,129000.000000,128520.218750,717635
2017-12-22,128000.000000,130500.000000,126500.000000,129500.000000,129018.351563,586870
2017-12-26,130500.000000,130500.000000,125000.000000,126000.000000,125531.367188,737536
2017-12-27,130000.000000,140000.000000,129500.000000,139500.000000,139144.609375,1561744
2017-12-28,139500.000000,141500.000000,134500.000000,137000.000000,136650.968750,948214
2018-01-02,null,null,null,null,null,null
2018-01-03,150500.000000,151000.000000,145500.000000,149000.000000,148620.406250,1154361
2018-01-04,152500.000000,159000.000000,149500.000000,156000.000000,155602.562500,2265019
2018-01-05,157000.000000,158000.000000,152000.000000,156000.000000,155602.562500,1067202
2018-01-08,160500.000000,162500.000000,158000.000000,159500.000000,159093.640625,1577403
